time_limit;default;radius;in_range;osm_id;random
1720.2515962030127;0;0;0;0;0
3440.5031924060254;1;0;0;0;0
5160.754788609038;2;0;0;0;0
6881.006384812051;3;0;0;0;0
8601.257981015064;4;0;0;0;0
10321.509577218076;5;0;0;0;0
12041.76117342109;6;0;0;0;0
13762.012769624102;7;0;0;0;0
15482.264365827114;8;0;0;0;0
17202.515962030127;9;0;0;0;0
18922.76755823314;10;0;0;0;0
20643.01915443615;11;0;0;0;0
22363.270750639163;12;0;0;0;0
24083.52234684218;13;0;0;0;0
25803.77394304519;14;0;0;0;0
27524.025539248203;15;0;0;0;0
29244.277135451215;16;0;0;0;0
30964.528731654227;17;0;0;0;0
32684.780327857243;18;0;0;0;0
34405.031924060255;19;0;0;0;0
36125.28352026326;20;0;0;0;0
37845.53511646628;21;0;0;0;0
39565.786712669295;22;0;0;0;0
41286.0383088723;23;0;0;0;0
43006.28990507532;24;0;0;0;0
44726.54150127833;25;0;0;0;0
46446.79309748134;26;0;0;0;0
48167.04469368436;27;0;0;0;0
49887.29628988737;28;0;0;0;0
51607.54788609038;29;0;0;0;0
53327.79948229339;30;0;0;0;0
55048.051078496406;31;0;0;0;0
56768.30267469942;32;0;0;0;0
58488.55427090243;33;0;0;0;0
60208.805867105446;34;0;0;0;0
61929.057463308454;35;0;0;0;0
63649.30905951147;36;0;0;0;0
65369.560655714486;37;0;0;0;0
67089.8122519175;38;0;0;0;0
68810.06384812051;39;0;0;0;0
70530.31544432353;40;0;0;0;0
72250.56704052653;41;0;0;0;0
73970.81863672954;42;0;0;0;0
75691.07023293256;43;0;0;0;0
77411.32182913557;44;0;0;0;0
79131.57342533859;45;0;0;0;0
80851.82502154159;46;0;0;0;0
82572.0766177446;47;0;0;0;0
84292.32821394762;48;0;0;0;0
86012.57981015064;49;0;0;0;0
87732.83140635365;50;0;0;0;0
89453.08300255665;51;0;0;0;0
91173.33459875967;52;0;0;0;0
92893.58619496269;53;0;0;0;0
94613.8377911657;54;0;0;0;0
96334.08938736872;55;0;0;0;0
98054.34098357172;56;0;0;0;0
99774.59257977473;57;0;0;0;0
101494.84417597775;58;0;0;0;0
103215.09577218076;59;0;0;0;0
104935.34736838378;60;0;0;0;0
106655.59896458678;61;0;0;0;0
108375.8505607898;62;0;0;0;0
111816.35375319583;63;0;0;0;0
113536.60534939884;64;0;0;0;0
115256.85694560184;65;0;0;0;0
116977.10854180486;66;0;0;0;0
