time_limit;default;radius;in_range;random
96642.05443970779;58;61;33;121
96994.76266758992;58;62;33;121
97347.47089547207;58;63;33;121
97700.17912335422;58;64;33;121
98052.88735123636;58;65;33;121
98405.59557911851;58;66;33;121
98758.30380700066;58;67;33;121
99111.0120348828;58;68;33;121
99463.72026276494;58;69;33;121
99816.42849064709;58;70;33;121
100169.13671852923;58;71;33;121
100521.84494641138;58;72;33;121
100874.55317429353;58;73;33;121
101227.26140217567;58;74;33;121
101579.96963005782;58;75;33;121
101932.67785793995;58;76;33;121
102285.3860858221;58;77;33;121
102638.09431370425;58;78;33;121
102990.8025415864;58;79;33;121
103343.51076946854;58;80;33;121
103696.21899735069;58;81;33;121
104048.92722523284;58;82;33;121
104401.63545311498;58;83;33;121
104754.34368099712;58;84;33;121
105107.05190887926;58;85;33;121
105459.76013676141;58;86;33;121
105812.46836464356;58;87;33;121
106165.1765925257;58;88;33;121
106517.88482040785;58;89;33;121
106870.59304829;58;90;33;121
107223.30127617213;58;91;33;121
107576.00950405428;58;92;33;121
107928.71773193643;58;93;33;121
108281.42595981857;58;94;33;121
108634.13418770072;58;95;33;121
108986.84241558287;58;96;33;121
109339.55064346502;58;97;33;121
109692.25887134715;58;98;33;121
110044.9670992293;58;99;33;121
110397.67532711144;58;100;33;121
110750.38355499359;58;101;33;121
111103.09178287574;58;102;33;121
111455.80001075788;58;103;33;121
111808.50823864003;58;104;33;121
112161.21646652218;58;105;33;121
112513.92469440431;58;106;33;121
112866.63292228646;58;107;33;121
113219.3411501686;58;108;33;121
113572.04937805075;58;109;33;121
113924.7576059329;58;110;33;121
114277.46583381505;58;111;33;121
114630.1740616972;58;112;33;121
114982.88228957933;58;113;33;121
115335.59051746147;58;114;33;121
115688.29874534362;58;115;33;121
116041.00697322577;58;116;33;121
116393.71520110792;58;117;33;121
116746.42342899006;58;118;33;121
117099.13165687221;58;119;33;121
117451.83988475434;58;120;33;121
117804.54811263649;58;121;33;121
118157.25634051864;58;122;33;121
118509.96456840078;58;123;33;121
118862.67279628293;58;124;33;121
119215.38102416508;58;125;33;121
119568.08925204723;58;126;33;121
119920.79747992937;58;127;33;121
120273.5057078115;58;128;33;121
120626.21393569365;58;129;33;121
120978.9221635758;58;130;33;121
121331.63039145795;58;131;33;121
121684.3386193401;58;132;33;121
122037.04684722224;58;133;33;121
122389.75507510439;58;134;33;121
122742.46330298652;58;135;33;121
123095.17153086867;58;136;33;121
123447.87975875082;58;137;33;121
123800.58798663296;58;138;33;121
124153.29621451511;58;139;33;121
124506.00444239726;58;140;33;121
124858.7126702794;58;141;33;121
125211.42089816154;58;142;33;121
125564.12912604368;58;143;33;121
125916.83735392583;58;144;33;121
126269.54558180798;58;145;33;121
126622.25380969013;58;146;33;121
126974.96203757227;58;147;33;121
127327.67026545442;58;148;33;121
127680.37849333657;58;149;33;121
128033.0867212187;58;150;33;121
128385.79494910085;58;151;33;121
128738.503176983;58;152;33;121
129091.21140486514;58;153;33;121
129443.91963274729;58;154;33;121
129796.62786062944;58;155;33;121
130149.33608851158;58;156;33;121
130502.04431639372;58;157;33;121
130854.75254427586;58;158;33;121
131207.46077215803;58;159;33;121
131560.16900004016;58;160;33;121
131912.8772279223;58;161;33;121
132265.58545580445;58;162;33;121
132618.29368368658;58;163;33;121
132971.00191156875;58;164;33;121
133323.71013945088;58;165;33;121
133676.41836733304;58;166;33;121
134029.12659521517;58;167;33;121
134381.8348230973;58;168;33;121
134734.54305097947;58;169;33;121
135087.2512788616;58;170;33;121
135439.95950674376;58;171;33;121
135792.6677346259;58;172;33;121
136145.37596250806;58;173;33;121
136498.0841903902;58;174;33;121
136850.79241827232;58;175;33;121
137203.50064615448;58;176;33;121
137556.20887403662;58;177;33;121
137908.91710191878;58;178;33;121
138261.6253298009;58;179;33;121
138614.33355768307;58;180;33;121
138967.0417855652;58;181;33;121
139319.75001344734;58;182;33;121
139672.4582413295;58;183;33;121
140025.16646921163;58;184;33;121
140377.8746970938;58;185;33;121
140730.58292497593;58;186;33;121
141083.2911528581;58;187;33;121
141435.99938074022;58;188;33;121
141788.70760862238;58;189;33;121
142141.41583650452;58;190;33;121
142494.12406438665;58;191;33;121
142846.8322922688;58;192;33;121
143199.54052015094;58;193;33;121
143552.2487480331;58;194;33;121
143904.95697591524;58;195;33;121
144257.6652037974;58;196;33;121
144610.37343167953;58;197;33;121
144963.08165956166;58;198;33;121
145315.78988744383;58;199;33;121
145668.49811532596;58;200;33;121
146021.20634320812;58;201;33;121
146373.91457109025;58;202;33;121
146726.6227989724;58;203;33;121
147079.33102685455;58;204;33;121
147432.03925473668;58;205;33;121
147784.74748261884;58;206;33;121
148137.45571050097;58;207;33;121
148490.16393838314;58;208;33;121
148842.87216626527;58;209;33;121
149195.58039414743;58;210;33;121
149548.28862202956;58;211;33;121
149900.9968499117;58;212;33;121
150253.70507779386;58;213;33;121
150606.413305676;58;214;33;121
150959.12153355815;58;215;33;121
151311.82976144028;58;216;33;121
151664.53798932245;58;217;33;121
152017.24621720458;58;218;33;121
152369.9544450867;58;219;33;121
152722.66267296887;58;220;33;121
153075.370900851;58;221;33;121
153428.07912873317;58;222;33;121
153780.7873566153;58;223;33;121
154133.49558449746;58;224;33;121
154486.2038123796;58;225;33;121
154838.91204026173;58;226;33;121
155191.6202681439;58;227;33;121
155544.32849602602;58;228;33;121
155897.03672390818;58;229;33;121
156249.74495179032;58;230;33;121
156602.45317967248;58;231;33;121
156955.1614075546;58;232;33;121
