Results
Time_Limit;Total_Alive;Total_Radius
100.0;184;2068644.5146092672
200.0;184;2068644.5146092672
400.0;182;2028432.1286433176
600.0;178;1961956.0280933573
700.0;175;1934806.3843810346
800.0;171;1910547.0059100145
