time_limit;default;radius;in_range;osm_id;random
0.0;4.3480799688421714E8;4.348079968841953E8;4.3480799688419527E8;4.348079968842017E8;4.34807996884202E8
1720.2515962030127;1.199780580423317E8;1.4841005589353663E8;1.3978458078525415E8;1.3175381544948226E8;1.294026663570934E8
3440.5031924060254;3.6106751624309085E7;4.359776620945762E7;4.110140013824733E7;4.0555441600535706E7;3.8094518977643475E7
5160.754788609038;1.779331477229007E7;1.9288128539165217E7;1.8549979929277796E7;1.830355340153025E7;1.8426132063688062E7
6881.006384812051;1.0636389716293996E7;1.0980764819795232E7;1.086990429823536E7;1.0927533673872812E7;1.1208750198666235E7
8601.257981015064;7080961.345632189;7024513.208832472;6900357.4671626035;7279811.594233788;7046937.897193792
10321.509577218076;5146940.359414556;5420629.628209976;4908248.4327800935;5126683.369984196;5226215.3084352305
12041.76117342109;3754454.5484520947;3733588.0900469464;3691691.8104186724;3598675.5351311862;3562314.7417585407
13762.012769624102;3022576.557501197;2834282.060215639;2716264.990590884;2897591.4353707787;2805190.912243397
15482.264365827114;2446351.916165063;2349044.2253127736;2260250.2505517122;2450555.3671355657;2253175.383895826
17202.515962030127;1886136.830991624;2023669.4741804793;1833841.87967997;2041765.0478651563;1797876.926981674
18922.76755823314;1619145.4377336425;1609494.4651018155;1474701.2907068918;1525249.5165031515;1376859.529103492
20643.01915443615;1442657.0456402753;1294430.4210586029;1294951.9254390984;1461462.6192646644;1254186.6191661176
22363.270750639163;1275700.2456579003;1230762.904340952;1095240.8804503954;1237976.0010735937;1089007.9606256734
24083.52234684218;1057246.4588978812;1029223.4524278594;961811.1572671296;1050133.8931301534;1043593.0972253792
25803.77394304519;947064.5213511796;967271.2452990686;826823.2041276834;954453.5472724225;953467.0871791953
27524.025539248203;734931.6190101822;850473.1136239072;775929.4031395287;791788.16285485;943715.5835824525
29244.277135451215;637686.7600109635;730307.1946240976;753906.8386378641;730659.0530012998;889120.986448369
30964.528731654227;612931.0099006759;730307.1946240976;752298.3431992262;709673.2140753199;864365.2363380814
32684.780327857243;545468.4492574885;709893.1255610711;654525.6966342047;689259.1450122935;750306.5734568504
34405.031924060255;514976.1509617459;555069.156406859;652489.9445946785;523094.0263786221;727228.4338235797
36125.28352026326;497031.37372444104;534655.0873438326;623002.9559480847;493607.03773202834;663560.9171059288
37845.53511646628;377644.5697027217;422022.70752733125;458546.8637179661;386635.8078772958;559052.6958916108
39565.786712669295;347478.99704295263;401608.63846430473;428079.69816345227;363708.4646913975;538638.6268285844
41286.0383088723;286500.6836367748;319952.3622121989;244353.07659621414;310200.85861545615;345839.08567777876
43006.28990507532;283836.6130665306;317916.6101726727;242317.32455668796;310200.85861545615;335660.32548014785
44726.54150127833;256467.05786845638;317916.6101726727;193660.33753788922;282202.9848866639;287003.33846134914
46446.79309748134;256467.05786845638;317916.6101726727;193660.33753788922;282202.9848866639;285394.84302271117
48167.04469368436;256467.05786845638;290547.05497459846;166290.78233981493;282202.9848866639;243548.8288768951
49887.29628988737;256467.05786845638;290547.05497459846;166290.78233981493;282202.9848866639;243548.8288768951
51607.54788609038;246765.8197541711;289918.7364438805;145876.71327678845;282202.9848866639;243548.8288768951
53327.79948229339;237692.90017060377;280845.8168603132;145876.71327678845;273130.0653030966;243548.8288768951
55048.051078496406;236084.4047319658;278577.5869644213;145876.71327678845;270861.83540720475;223134.75981386862
56768.30267469942;236084.4047319658;229920.5999456226;97219.72625798972;270861.83540720475;174477.77279506993
58488.55427090243;236084.4047319658;229920.5999456226;97219.72625798972;270861.83540720475;174477.77279506993
60208.805867105446;208714.84953389148;209506.53088259613;97219.72625798972;190506.17851368504;141905.74016265094
61929.057463308454;205070.60205572733;209506.53088259613;97219.72625798972;190506.17851368504;139869.98812312476
63649.30905951147;205070.60205572733;209506.53088259613;97219.72625798972;190506.17851368504;139869.98812312476
65369.560655714486;129044.05983885433;133479.98866572313;97219.72625798972;114479.63629681205;139869.98812312476
67089.8122519175;101674.50464078005;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
68810.06384812051;101674.50464078005;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
70530.31544432353;101674.50464078005;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
72250.56704052653;101674.50464078005;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
73970.81863672954;101674.50464078005;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
75691.07023293256;100066.00920214207;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
77411.32182913557;100066.00920214207;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
79131.57342533859;98457.5137635041;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
80851.82502154159;98457.5137635041;106110.43346764885;69850.17105991546;87110.08109873778;112500.43292505048
82572.0766177446;89384.59417993679;106110.43346764885;60777.251476348145;87110.08109873778;112500.43292505048
84292.32821394762;89384.59417993679;106110.43346764885;60777.251476348145;86481.76256801981;112500.43292505048
86012.57981015064;89384.59417993679;55216.632479494205;60777.251476348145;86481.76256801981;61606.63193689585
87732.83140635365;82950.61242538488;55216.632479494205;60777.251476348145;86481.76256801981;61606.63193689585
89453.08300255665;82950.61242538488;55216.632479494205;60777.251476348145;86481.76256801981;61606.63193689585
91173.33459875967;82950.61242538488;55216.632479494205;60777.251476348145;86481.76256801981;61606.63193689585
92893.58619496269;82950.61242538488;55216.632479494205;60777.251476348145;86481.76256801981;59998.13649825787
94613.8377911657;82322.29389466695;55216.632479494205;60777.251476348145;86481.76256801981;59998.13649825787
96334.08938736872;82322.29389466695;55216.632479494205;60777.251476348145;86481.76256801981;59998.13649825787
98054.34098357172;82322.29389466695;55216.632479494205;60777.251476348145;86481.76256801981;59998.13649825787
99774.59257977473;82322.29389466695;55216.632479494205;60777.251476348145;85853.44403730186;59998.13649825787
101494.84417597775;82322.29389466695;55216.632479494205;60777.251476348145;49561.76570303258;59998.13649825787
103215.09577218076;80713.79845602896;55216.632479494205;60777.251476348145;49561.76570303258;54343.26972179624
104935.34736838378;80713.79845602896;55216.632479494205;60777.251476348145;49561.76570303258;54343.26972179624
