time_limit;default;radius;in_range;random;lp_solution
0.0;1708360.385910285;1708360.3859102845;1708360.3859102847;1708360.3859102852;1708360.3859102845
403.17227848179937;1664095.3454212048;1658440.4786447426;1664095.3454212046;1658440.478644743;1680488.175887636
806.3445569635987;1328673.7809827311;1285005.6430978328;1339317.4968930928;1274361.9271874705;1436298.4621094093
1209.516835445398;1111237.8702424748;1079733.9791122766;1083868.3150444005;1081254.509956614;1259916.8841662651
1612.6891139271975;758016.0418287596;746247.6357484125;780252.2346308683;748559.8479414546;997047.2604697933
2015.8613924089968;583035.6142091152;528070.3091419082;532543.9370806201;585718.5343352808;833640.4601859734
2419.033670890796;396984.21407822066;374389.8797136028;354132.8902832559;404800.4966003518;654871.2718260995
2822.2059493725956;308378.73487637425;322880.32656534476;310766.3452931025;309182.98259569326;571210.6594610033
3225.378227854395;290170.0638561678;282956.9671235256;278985.99400938815;277402.63131197885;486211.72862547793
3628.5505063361943;251836.35029706504;276114.57832400705;259979.35845516983;254852.2792445113;452219.69611363637
4031.7227848179937;231705.02457286164;238465.7319633869;225371.57378322462;237334.75860809456;405962.8858821803
4434.895063299793;170758.1270932196;161132.28720262047;172567.68446168734;151858.30568922343;384644.03813492006
4838.067341781592;152662.55340854242;131852.64367116362;136376.53709233293;126197.77689470198;337495.0155898444
5241.239620263392;152662.55340854242;125010.25487164504;136376.53709233293;119355.38809518341;334453.9539011695
5644.411898745191;142006.27112756585;125010.25487164504;133863.2629694611;119355.38809518341;321529.441724301
6047.5841772269905;134541.8469826365;124105.47618741119;132053.7056009934;118450.60941094956;308460.4162853675
6450.75645570879;126398.83882453173;113449.1939064346;123910.69744288862;104753.26544129805;297276.3464385878
6853.928734190589;126398.83882453173;107794.32712997297;118255.83066642699;104753.26544129805;290433.95763906924
7257.101012672389;118255.83066642699;107794.32712997297;110112.82250832224;104753.26544129805;254720.33235306045
7660.273291154188;118255.83066642699;107794.32712997297;110112.82250832224;104753.26544129805;254720.33235306045
8063.445569635987;103779.37171868522;106889.54844573911;110112.82250832224;103848.4867570642;243932.1031806331
8466.617848117787;103779.37171868522;106889.54844573911;110112.82250832224;103848.4867570642;243932.1031806331
8869.790126599586;95636.36356058049;95127.42555069893;98350.69961328206;92086.36386202401;232169.9802855929
9272.962405081385;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;232169.9802855929
9676.134683563185;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;220005.73353089322
10079.306962044984;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;214350.8667544316
10482.479240526784;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;211837.59263155976
10885.651519008583;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;211837.59263155976
11288.823797490382;95636.36356058049;92086.36386202401;95309.63792460713;92086.36386202401;211837.59263155976
11691.996075972182;95636.36356058049;83943.35570391927;87166.6297665024;83943.35570391927;203694.584473455
12095.168354453981;87493.35540247573;72181.23280887908;79023.62160839766;72181.23280887908;191932.46157841483
