time_limit;default;radius;in_range;osm_id;random
0.0;0;0;0;0;0
132.75759759176404;0;0;0;0;0
265.5151951835281;0;0;1;0;1
398.27279277529215;1;0;1;0;1
531.0303903670562;2;0;1;0;1
663.7879879588202;3;0;1;0;1
796.5455855505843;4;0;1;0;1
929.3031831423483;5;0;1;0;1
1062.0607807341123;6;0;1;0;1
1194.8183783258764;7;0;1;0;1
1327.5759759176403;8;0;1;0;1
1460.3335735094045;9;0;1;0;1
1593.0911711011686;10;0;1;0;1
1725.8487686929325;11;0;1;0;1
1858.6063662846966;12;0;1;0;1
1991.3639638764605;13;0;1;0;1
2124.1215614682246;14;0;1;0;1
2256.8791590599885;15;0;1;0;1
2389.636756651753;16;0;1;0;1
2522.394354243517;17;0;1;0;1
2655.1519518352807;18;0;1;0;1
2787.909549427045;19;0;1;0;1
2920.667147018809;20;0;1;0;1
3053.424744610573;21;0;1;0;1
3186.182342202337;22;0;1;0;1
3318.939939794101;23;0;1;0;1
3451.697537385865;24;0;1;0;1
3584.455134977629;25;0;1;0;1
3717.212732569393;26;0;1;0;1
3849.970330161157;27;0;1;0;1
3982.727927752921;28;0;1;0;1
4115.485525344685;29;0;1;0;1
4248.243122936449;30;0;1;0;1
4381.000720528214;31;0;1;0;1
4513.758318119977;32;0;1;0;1
4646.515915711741;33;0;1;0;1
4779.273513303506;34;0;1;0;1
4912.031110895269;35;0;1;0;1
5044.788708487034;36;0;1;0;1
5177.546306078798;37;0;1;0;1
5310.303903670561;38;0;1;0;1
5443.061501262326;39;0;1;0;1
5575.81909885409;40;0;1;0;1
5708.5766964458535;41;0;1;0;1
5841.334294037618;42;0;1;0;1
5974.091891629382;43;0;1;0;1
6106.849489221146;44;0;1;0;1
6239.60708681291;45;0;1;0;1
6372.364684404674;46;0;1;0;1
6505.122281996438;47;0;1;0;1
6637.879879588202;48;0;1;0;1
6770.637477179966;49;0;1;0;1
6903.39507477173;50;0;1;0;1
7036.152672363494;51;0;1;0;1
7168.910269955258;52;0;1;0;1
7301.667867547022;53;0;1;0;1
7434.425465138786;54;0;1;0;1
7567.18306273055;55;0;1;0;1
7699.940660322314;56;0;1;0;1
7832.698257914079;57;0;1;0;1
7965.455855505842;58;0;1;0;1
8098.213453097606;59;0;1;0;1
8230.97105068937;60;0;1;0;1
8363.728648281134;61;0;1;0;1
